Vehicle_Category,CNG ONLY,DIESEL,DIESEL/HYBRID,ELECTRIC(BOV),PETROL,PETROL/HYBRID,PLUG-IN HYBRID EV,PURE EV,SOLAR,STRONG HYBRID EV,Total,Cluster
HEAVY GOODS VEHICLE,46939,5855610,92,809,13562,1,0,72,56,0,"59,17,141",1
HEAVY MOTOR VEHICLE,17,96792,115,154,748,1,0,0,4,0,"97,831",1
HEAVY PASSENGER VEHICLE,49672,755697,49,9498,3948,0,0,1137,11,0,"8,20,012",1
LIGHT GOODS VEHICLE,437612,9066552,221,16437,351373,2,0,937,93,0,"98,73,227",1
LIGHT MOTOR VEHICLE,19562,27914500,167676,212288,31815614,1173650,74,49714,268,86849,"6,14,40,195",0
LIGHT PASSENGER VEHICLE,52822,3070265,4657,25348,485966,28395,0,4618,63,2224,"36,74,358",1
MEDIUM GOODS VEHICLE,50446,816824,19,44,3833,0,0,0,25,0,"8,71,191",1
MEDIUM MOTOR VEHICLE,34,161865,20,61,1045,10,0,0,4,0,"1,63,039",1
MEDIUM PASSENGER VEHICLE,18161,321928,9,835,943,0,0,39,4,0,"3,41,919",1
THREE WHEELER(NT),6822,530699,0,1674,105614,0,0,31,5,0,"6,44,845",1
THREE WHEELER(T),1244494,4365633,25,2375611,1264524,8,0,86689,92,0,"93,37,076",2
TWO WHEELER(NT),54577,139157,45,2547087,282605099,36,0,714492,1508,2,"28,60,62,003",3
TWO WHEELER(T),46,98,0,14297,116845,0,0,4537,5,0,"1,35,828",1
