Vehicle_Category,CNG ONLY,DIESEL,DIESEL/HYBRID,ELECTRIC(BOV),PETROL,PETROL/HYBRID,PLUG-IN HYBRID EV,PURE EV,SOLAR,STRONG HYBRID EV,Total
HEAVY GOODS VEHICLE,"46,939","58,55,610",92,809,"13,562",1,0,72,56,0,"59,17,141"
HEAVY MOTOR VEHICLE,17,"96,792",115,154,748,1,0,0,4,0,"97,831"
HEAVY PASSENGER VEHICLE,"49,672","7,55,697",49,"9,498","3,948",0,0,"1,137",11,0,"8,20,012"
LIGHT GOODS VEHICLE,"4,37,612","90,66,552",221,"16,437","3,51,373",2,0,937,93,0,"98,73,227"
LIGHT MOTOR VEHICLE,"19,562","2,79,14,500","1,67,676","2,12,288","3,18,15,614","11,73,650",74,"49,714",268,"86,849","6,14,40,195"
LIGHT PASSENGER VEHICLE,"52,822","30,70,265","4,657","25,348","4,85,966","28,395",0,"4,618",63,"2,224","36,74,358"
MEDIUM GOODS VEHICLE,"50,446","8,16,824",19,44,"3,833",0,0,0,25,0,"8,71,191"
MEDIUM MOTOR VEHICLE,34,"1,61,865",20,61,"1,045",10,0,0,4,0,"1,63,039"
MEDIUM PASSENGER VEHICLE,"18,161","3,21,928",9,835,943,0,0,39,4,0,"3,41,919"
THREE WHEELER(NT),"6,822","5,30,699",0,"1,674","1,05,614",0,0,31,5,0,"6,44,845"
THREE WHEELER(T),"12,44,494","43,65,633",25,"23,75,611","12,64,524",8,0,"86,689",92,0,"93,37,076"
TWO WHEELER(NT),"54,577","1,39,157",45,"25,47,087","28,26,05,099",36,0,"7,14,492","1,508",2,"28,60,62,003"
TWO WHEELER(T),46,98,0,"14,297","1,16,845",0,0,"4,537",5,0,"1,35,828"
